TRAIT,DATE,QUALITY,ENTRY_CODE,ENTRY_NAME,COMP,RATER,ROW,COL,PLOC_CODE,YEAR,MONTH,RATING_EVENT,RATING_EVENT_CODE,MONTH_CODE,YEAR_CODE,TEST_LOC
Turf Quality,10/1/18,5,85,PST-K15-167,Pure Seed Testing Inc.,APC,18,5,254,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,54,DLFPS-340/3500,DLF Pickseed USA,APC,15,7,161,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,34,NAI-14-122,Columbia River Seed,APC,21,9,102,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,2,5,Blue Knight,Ledeboer Plant Breeding,APC,10,5,14,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,3,54,DLFPS-340/3500,DLF Pickseed USA,APC,2,9,160,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,3,35,Orion (PST-K13-143),Pure Seed Testing Inc.,APC,8,8,103,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,53,DLFPS-340/3494,DLF Pickseed USA,APC,21,10,159,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,85,PST-K15-167,Pure Seed Testing Inc.,APC,24,7,255,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,35,Orion (PST-K13-143),Pure Seed Testing Inc.,APC,13,6,104,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,53,DLFPS-340/3494,DLF Pickseed USA,APC,15,8,158,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,3,5,Blue Knight,Ledeboer Plant Breeding,APC,7,10,13,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,3,34,NAI-14-122,Columbia River Seed,APC,13,7,101,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,81,PST-K13-141,Pure Seed Testing Inc.,APC,18,1,242,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,26,BAR PP 79494,Barenbrug Research,APC,19,9,78,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,6,62,DLFPS-340/3552,DLF Pickseed USA,APC,23,2,186,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,13,KH3492,Pennington Seed,APC,11,8,38,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,6,71,A10-280,Mountain View Seeds,APC,26,4,213,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,77,Prosperity,Blue Mt. Seeds Inc.,APC,4,9,229,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,18,J-2726,Jacklin Seed by Simplot,APC,11,3,53,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,6,71,A10-280,Mountain View Seeds,APC,17,10,212,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,18,J-2726,Jacklin Seed by Simplot,APC,27,7,54,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,13,KH3492,Pennington Seed,APC,1,9,37,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,71,A10-280,Mountain View Seeds,APC,3,6,211,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,19,NuRush (J-3510),Jacklin Seed by Simplot,APC,6,5,55,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,77,Prosperity,Blue Mt. Seeds Inc.,APC,17,4,230,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,3,70,PPG-KB 1131,Mountain View Seeds,APC,26,1,210,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,19,NuRush (J-3510),Jacklin Seed by Simplot,APC,11,2,56,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,12,NK-1,Pennington Seed,APC,26,9,36,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,70,PPG-KB 1131,Mountain View Seeds,APC,16,10,209,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,19,NuRush (J-3510),Jacklin Seed by Simplot,APC,25,1,57,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,77,Prosperity,Blue Mt. Seeds Inc.,APC,27,8,231,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,70,PPG-KB 1131,Mountain View Seeds,APC,5,9,208,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,2,20,BAR PP 71213,Barenbrug Research,APC,2,4,58,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,3,12,NK-1,Pennington Seed,APC,11,9,35,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,69,A11-38,Peak Plant Genetics,APC,20,8,207,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,78,A06-8,Blue Mt. Seeds Inc.,APC,6,7,232,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,20,BAR PP 71213,Barenbrug Research,APC,11,1,59,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,3,69,A11-38,Peak Plant Genetics,APC,16,9,206,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,18,J-2726,Jacklin Seed by Simplot,APC,7,2,52,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,72,Shamrock,Standard,APC,8,10,214,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,17,J-1319,Jacklin Seed by Simplot,APC,20,3,51,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,3,72,Shamrock,Standard,APC,17,9,215,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,3,15,After Midnight,Jacklin Seed by Simplot,APC,9,3,43,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,75,A15-6,Peak Plant Genetics,APC,2,7,223,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,6,14,Yellowstone (A12-7),Landmark Turf & Native Seed,APC,23,1,42,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,15,After Midnight,Jacklin Seed by Simplot,APC,11,6,44,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,74,PPG-KB 1304,ProSeeds Marketing,APC,26,10,222,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,6,75,A15-6,Peak Plant Genetics,APC,23,4,225,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,6,15,After Midnight,Jacklin Seed by Simplot,APC,23,3,45,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,74,PPG-KB 1304,ProSeeds Marketing,APC,17,7,221,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,14,Yellowstone (A12-7),Landmark Turf & Native Seed,APC,11,7,41,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,74,PPG-KB 1304,ProSeeds Marketing,APC,1,5,220,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,16,J-1138,Jacklin Seed by Simplot,APC,3,7,46,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,20,BAR PP 71213,Barenbrug Research,APC,24,5,60,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,76,A16-17,Peak Plant Genetics,APC,6,2,226,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,16,J-1138,Jacklin Seed by Simplot,APC,11,5,47,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,14,Yellowstone (A12-7),Landmark Turf & Native Seed,APC,3,8,40,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,73,A16-2,The Scotts Company,APC,17,8,218,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,16,J-1138,Jacklin Seed by Simplot,APC,25,3,48,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,76,A16-17,Peak Plant Genetics,APC,17,5,227,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,73,A16-2,The Scotts Company,APC,4,6,217,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,17,J-1319,Jacklin Seed by Simplot,APC,5,7,49,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,72,Shamrock,Standard,APC,26,2,216,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,17,J-1319,Jacklin Seed by Simplot,APC,11,4,50,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,13,KH3492,Pennington Seed,APC,22,5,39,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,76,A16-17,Peak Plant Genetics,APC,21,1,228,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,73,A16-2,The Scotts Company,APC,22,8,219,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,87,PST-K15-172,Pure Seed Testing Inc.,APC,18,7,260,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,2,69,A11-38,Peak Plant Genetics,APC,4,1,205,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,78,A06-8,Blue Mt. Seeds Inc.,APC,17,3,233,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,3,80,Paloma (PST-K13-139),Pure Seed Testing Inc.,APC,6,10,238,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,65,A16-7,Mountain View Seeds,APC,16,5,194,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,24,BAR PP 7K426,Barenbrug Research,APC,12,4,71,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,3,10,AKB3179,Pennington Seed,APC,10,10,29,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,4,65,A16-7,Mountain View Seeds,APC,3,5,193,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
Turf Quality,10/1/18,5,24,BAR PP 7K426,Barenbrug Research,APC,25,6,72,2018,Oct,APC-2018-10-01,1,10,1,"Stillwater, OK"
